AAAA;NOM_USUEL;TMM;TXAB;TXMIN;NBJTX25;RR;RRAB;TMM_ma5;ville
1948;BORDEAUX-MERIGNAC;;34.2;-3.0;55.0;668.8000000000001;32.2;;bordeaux
1949;BORDEAUX-MERIGNAC;13.1;38.3;2.2;102.0;778.5;37.6;;bordeaux
1950;BORDEAUX-MERIGNAC;12.6;38.4;-0.4;75.0;861.1;25.9;;bordeaux
1951;BORDEAUX-MERIGNAC;12.1;33.3;2.2;36.0;1110.8999999999999;42.0;;bordeaux
1952;BORDEAUX-MERIGNAC;12.5;37.0;-1.5;61.0;1219.1;44.8;;bordeaux
1953;BORDEAUX-MERIGNAC;12.1;35.3;0.6;53.0;493.7;28.3;12.5;bordeaux
1954;BORDEAUX-MERIGNAC;11.9;33.1;-7.0;30.0;837.3;29.5;12.2;bordeaux
1955;BORDEAUX-MERIGNAC;12.6;33.0;-0.7;64.0;934.6;49.1;12.2;bordeaux
1956;BORDEAUX-MERIGNAC;10.9;33.2;-6.8;33.0;759.1;41.3;12.0;bordeaux
1957;BORDEAUX-MERIGNAC;12.1;33.6;-0.8;35.0;757.6;30.9;11.9;bordeaux
1958;BORDEAUX-MERIGNAC;12.3;31.8;1.6;52.0;1129.5;43.6;12.0;bordeaux
1959;BORDEAUX-MERIGNAC;13.1;34.6;0.0;61.0;1144.2;54.4;12.2;bordeaux
1960;BORDEAUX-MERIGNAC;12.3;32.9;-2.8;36.0;1288.1;38.4;12.1;bordeaux
1961;BORDEAUX-MERIGNAC;13.1;37.6;2.3;60.0;839.5;27.8;12.6;bordeaux
1962;BORDEAUX-MERIGNAC;11.6;35.3;-6.5;55.0;799.5;49.4;12.5;bordeaux
1963;BORDEAUX-MERIGNAC;11.2;33.2;-3.9;26.0;898.5;42.4;12.3;bordeaux
1964;BORDEAUX-MERIGNAC;11.9;36.0;-2.0;62.0;749.0;36.7;12.0;bordeaux
1965;BORDEAUX-MERIGNAC;11.8;33.0;1.0;33.0;1121.2;28.9;11.9;bordeaux
1966;BORDEAUX-MERIGNAC;12.7;34.2;-1.3;43.0;1134.2;48.1;11.8;bordeaux
1967;BORDEAUX-MERIGNAC;4.7;34.9;-3.5;57.0;742.7;32.5;10.5;bordeaux
1968;BORDEAUX-MERIGNAC;19.9;37.6;0.8;39.0;999.5;35.9;12.2;bordeaux
1969;BORDEAUX-MERIGNAC;;34.8;-1.4;53.0;1138.4;58.2;;bordeaux
1970;BORDEAUX-MERIGNAC;;33.5;-1.5;68.0;801.2;26.1;;bordeaux
1971;BORDEAUX-MERIGNAC;;34.1;0.7;48.0;928.9;29.3;;bordeaux
1972;BORDEAUX-MERIGNAC;;33.9;1.0;37.0;788.5;43.9;;bordeaux
1973;BORDEAUX-MERIGNAC;;34.9;-0.1;69.0;788.6;30.0;;bordeaux
1974;BORDEAUX-MERIGNAC;;35.3;1.0;57.0;922.1999999999999;60.5;;bordeaux
1975;BORDEAUX-MERIGNAC;16.7;38.3;0.5;74.0;780.3;33.1;;bordeaux
1976;BORDEAUX-MERIGNAC;;36.8;1.7;87.0;1018.1;50.0;;bordeaux
1977;BORDEAUX-MERIGNAC;;30.0;1.6;34.0;960.4;44.2;;bordeaux
1978;BORDEAUX-MERIGNAC;;33.3;0.1;56.0;892.3;36.6;;bordeaux
1979;BORDEAUX-MERIGNAC;;32.9;2.1;60.0;1185.0;39.5;;bordeaux
1980;BORDEAUX-MERIGNAC;;32.4;0.2;46.0;915.8;33.4;;bordeaux
